,lower temperature_2m,upper temperature_2m
2025-06-03 01:00:00+00:00,15.831105871089056,18.278049105529988
2025-06-03 02:00:00+00:00,14.493236315936098,18.5727593841868
2025-06-03 03:00:00+00:00,13.41513935716878,18.799507933121372
2025-06-03 04:00:00+00:00,12.59034810467247,19.062076243297984
2025-06-03 05:00:00+00:00,12.630750393054598,20.04313574538854
2025-06-03 06:00:00+00:00,14.293929354197546,22.543495767367332
2025-06-03 07:00:00+00:00,16.197084538731165,25.20724904244801
2025-06-03 08:00:00+00:00,18.082779128380185,27.79440231836975
2025-06-03 09:00:00+00:00,19.44041065947247,29.806203752942054
2025-06-03 10:00:00+00:00,20.505917819628227,31.48699976898963
2025-06-03 11:00:00+00:00,21.065418950538856,32.62910320678537
2025-06-03 12:00:00+00:00,21.27039337252912,33.38870467083652
2025-06-03 13:00:00+00:00,20.946786200360734,33.595428689410724
2025-06-03 14:00:00+00:00,20.840798866891003,33.99841448935255
2025-06-03 15:00:00+00:00,20.42815547772581,34.07577586121626
2025-06-03 16:00:00+00:00,19.454853294652658,33.57548485862759
2025-06-03 17:00:00+00:00,18.182978641197195,32.76128202370373
2025-06-03 18:00:00+00:00,16.579263140240244,31.60130106103839
2025-06-03 19:00:00+00:00,14.646097624468652,30.09913347785293
2025-06-03 20:00:00+00:00,13.188954572480728,29.061289337136483
2025-06-03 21:00:00+00:00,12.110140873881571,28.39097944803399
2025-06-03 22:00:00+00:00,11.121187185933712,27.800527654735873
2025-06-03 23:00:00+00:00,10.179897222868696,27.248438234651935
2025-06-04 00:00:00+00:00,9.229668870035034,26.678731482887187
